cui,name,entidad,departamento,provincia,distrito,MONTO_VIABLE,COSTO_ACTUALIZADO,DEFASE_MONTO,estado,avance_fisico_real_soles,avance_inversion_soles,desfase_avance_fis_fin,ejec_fis_program_inicio,ejec_fis_real_inicio,ejec_fis_program_final,ejec_fis_real_final,ano_ejecucion,ubigeo,latitud,longitud
2235993,"CREACION DEL POLIDEPORTIVO LA TABLADA EN LOS PPJJ DE VALLECITO Y BELEN, PROVINCIA DE ESPINAR - CUSCO",MUNICIPALIDAD PROVINCIAL DE ESPINAR,CUSCO,ESPINAR,ESPINAR,15657353,17944847,14.609710849592519,ACTIVO,1524953098.0600002,1429665960.49,-5.3100000000000023,,2019-10-16,,2023-06-13,2023,080801,-14.790616358896539,-71.416781504912308
2181514,"MEJORAMIENTO DE LA TROCHA CARROZABLE ENTRE EL CENTRO POBLADO DE PALLPATA Y EL SECTOR DE PRADO ESPERANZA ,, DISTRITO DE PALLPATA - ESPINAR - CUSCO",MUNICIPALIDAD DISTRITAL DE PALLPATA,CUSCO,ESPINAR,PALLPATA,1198277,1928402,60.931237101271243,ACTIVO,98984874.66,96169407.74,-1.4600000000000009,,2023-07-03,,2023-11-29,2023,080805,-14.845348697263418,-71.175910767237013
2180874,"INSTALACION DEL SISTEMA DE RIEGO SAPANCOLLANA EN LAS COMUNIDADES DE ANTACAMA Y CANLLETERA , , DISTRITO DE PALLPATA - ESPINAR - CUSCO",MUNICIPALIDAD DISTRITAL DE PALLPATA,CUSCO,ESPINAR,PALLPATA,2877127,7138865,148.12477864202725,ACTIVO,435399376.35,431258834.65,-0.5800000000000054,,2018-03-01,,2023-10-31,2023,080805,-14.890571819999932,-71.21126591999996
2150119,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE RIEGO PALCCACCOTA EN LA COMUNIDAD DE PALLPATA, DISTRITO DE PALLPATA - ESPINAR - CUSCO",MUNICIPALIDAD DISTRITAL DE PALLPATA,CUSCO,ESPINAR,PALLPATA,7623683,14077191,84.650791487526433,ACTIVO,1354788861.84,1342541705.67,-0.86999999999999034,,2013-05-15,,2023-07-31,2023,080805,-14.801339999999989,-71.078489999999988
2261295,"MEJORAMIENTO DE SERVICIOS EDUCATIVOS EN LAS IEI N 489 Y IEP N 56369 EN LA LOCALIDAD DE VIRGINNIYOC, DISTRITO DE SUYCKUTAMBO - ESPINAR - CUSCO",MUNICIPALIDAD DISTRITAL DE SUYCKUTAMBO,CUSCO,ESPINAR,SUYCKUTAMBO,3917622,13246059,238.11477983327643,ACTIVO,0,4238738.88,0.32,,2023-12-15,,2024-12-09,2024,080807,-15.008161277364202,-71.644650742110215
2176529,"REHABILITACION DE PISTAS Y VEREDAS ZONA URBANA DEL DISTRITO DE HUANUCO, PROVINCIA DE HUANUCO - HUANUCO",MUNICIPALIDAD PROVINCIAL DE HUÁNUCO,HUANUCO,HUANUCO,HUANUCO,92048430,28423384,-69.121272356302,ACTIVO,2208212702.96,2208212702.96,0,,2016-07-20,,2023-06-30,2023,100101,-9.927168,-76.2423859
2202524,"INSTALACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y LETRINAS DEL C.P. SANTO DOMINGO DE NAUYAN, DISTRITO DE HUÁNUCO, PROVINCIA DE HUANUCO - HUANUCO",MUNICIPALIDAD PROVINCIAL DE HUÁNUCO,HUANUCO,HUANUCO,HUANUCO,1985731,2430187,22.382487859634562,ACTIVO,243018700,242119530.81,-0.37000000000000455,,2022-08-10,,2023-02-05,2023,100101,-9.90558672855981,-76.276087600241169
2246147,"MEJORAMIENTO DEL SERVICIO  DE TRANSITABILIDAD URBANA DEL JR. MALECÓN WALCKER   SOBERON; (DESDE EMP.PE-3N KM 232+140 PUENTE HUALLAGA - EMP PE -3N KM 228 + 920 HUANCACHUPA), CALLE LAS VIÑAS - CCPP POTRACANCHA,  DISTRITO DE PILLCO MARCA - PROVINCIA DE HUANUCO - DEPARTAMENTO DE HUANUCO",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES HUANUCO,HUANUCO,HUANUCO,HUANUCO,19952488,47892659,140.03351862684994,ACTIVO,840037238.86,855362889.74,0.32000000000000028,2019-09-01,2022-07-07,2020-02-01,2023-01-02,2023,100111,-9.96051446599995,-76.249034231999985
2198720,"INSTALACION DEL SISTEMA DE ELECTRIFICACION RURAL DE LA RED PRIMARIA Y SECUNDARIA DE 12 LOCALIDADES DEL DISTRITO DE PANAO, PROVINCIA DE PACHITEA, REGION HUANUCO",GOBIERNO REGIONAL HUÁNUCO,HUANUCO,HUANUCO,AMARILIS,6067848,5745077,-5.3193652840348014,ACTIVO,551527392,536705093.34000003,-2.5799999999999983,,2022-07-08,,2023-03-04,2023,100801,-9.8986622399999646,-75.993216839999945
2227950,"CONSTRUCCION DE PISTAS Y VEREDAS EN LA URBANIZACION SANTA ELENA, MANZANAS A,B,C,D,E DISTRITO DE AMARILIS, REGION HUANUCO , DISTRITO DE AMARILIS - HUANUCO - HUANUCO",GOBIERNO REGIONAL HUÁNUCO,HUANUCO,HUANUCO,AMARILIS,1686079,3783734,124.41024412260634,ACTIVO,349995395,350827816.48,0.21999999999999886,,2021-03-05,,2023-05-31,2023,100102,-9.94358349,-76.24372
